state,year,president,party
South Dakota,1988,"Reagan, Ronald",Republican
South Dakota,1989,"Bush, George H.W.",Republican
South Dakota,1990,"Bush, George H.W.",Republican
South Dakota,1991,"Bush, George H.W.",Republican
South Dakota,1992,"Bush, George H.W.",Republican
South Dakota,1993,"Bush, George H.W.",Republican
South Dakota,1994,"Bush, George H.W.",Republican
South Dakota,1995,"Bush, George H.W.",Republican
South Dakota,1996,"Bush, George H.W.",Republican
South Dakota,1997,"Dole, Robert",Republican
South Dakota,1998,"Dole, Robert",Republican
South Dakota,1999,"Dole, Robert",Republican
South Dakota,2000,"Dole, Robert",Republican
South Dakota,2001,"Bush, George W.",Republican
South Dakota,2002,"Bush, George W.",Republican
South Dakota,2003,"Bush, George W.",Republican
South Dakota,2004,"Bush, George W.",Republican
South Dakota,2005,"Bush, George W.",Republican
Tennessee,1981,"Reagan, Ronald",Republican
Tennessee,1982,"Reagan, Ronald",Republican
Tennessee,1983,"Reagan, Ronald",Republican
Tennessee,1984,"Reagan, Ronald",Republican
Tennessee,1985,"Reagan, Ronald",Republican
Tennessee,1986,"Reagan, Ronald",Republican
Tennessee,1987,"Reagan, Ronald",Republican
Tennessee,1988,"Reagan, Ronald",Republican
Tennessee,1989,"Bush, George H.W.",Republican
Tennessee,1990,"Bush, George H.W.",Republican
Tennessee,1991,"Bush, George H.W.",Republican
Tennessee,1992,"Bush, George H.W.",Republican
Tennessee,1993,"Clinton, Bill",Democrat
Tennessee,1994,"Clinton, Bill",Democrat
Tennessee,1995,"Clinton, Bill",Democrat
Tennessee,1996,"Clinton, Bill",Democrat
Tennessee,1997,"Clinton, Bill",Democrat
Tennessee,1998,"Clinton, Bill",Democrat
Tennessee,1999,"Clinton, Bill",Democrat
Tennessee,2000,"Clinton, Bill",Democrat
Tennessee,2001,"Bush, George W.",Republican
Tennessee,2002,"Bush, George W.",Republican
Tennessee,2003,"Bush, George W.",Republican
Tennessee,2004,"Bush, George W.",Republican
Tennessee,2005,"Bush, George W.",Republican
Texas,1981,"Reagan, Ronald",Republican
Texas,1982,"Reagan, Ronald",Republican
Texas,1983,"Reagan, Ronald",Republican
Texas,1984,"Reagan, Ronald",Republican
Texas,1985,"Reagan, Ronald",Republican
Texas,1986,"Reagan, Ronald",Republican
Texas,1987,"Reagan, Ronald",Republican
Texas,1988,"Reagan, Ronald",Republican
Texas,1989,"Bush, George H.W.",Republican
Texas,1990,"Bush, George H.W.",Republican
Texas,1991,"Bush, George H.W.",Republican
Texas,1992,"Bush, George H.W.",Republican
Texas,1993,"Bush, George H.W.",Republican
Texas,1994,"Bush, George H.W.",Republican
Texas,1995,"Bush, George H.W.",Republican
Texas,1996,"Bush, George H.W.",Republican
Texas,1997,"Dole, Robert",Republican
Texas,1998,"Dole, Robert",Republican
Texas,1999,"Dole, Robert",Republican
Texas,2000,"Dole, Robert",Republican
Texas,2001,"Bush, George W.",Republican
Texas,2002,"Bush, George W.",Republican
Texas,2003,"Bush, George W.",Republican
Texas,2004,"Bush, George W.",Republican
Texas,2005,"Bush, George W.",Republican
Utah,1981,"Reagan, Ronald",Republican
Utah,1982,"Reagan, Ronald",Republican
Utah,1983,"Reagan, Ronald",Republican
Utah,1984,"Reagan, Ronald",Republican
Utah,1985,"Reagan, Ronald",Republican
Utah,1986,"Reagan, Ronald",Republican
Utah,1987,"Reagan, Ronald",Republican
Utah,1988,"Reagan, Ronald",Republican
Utah,1989,"Bush, George H.W.",Republican
Utah,1990,"Bush, George H.W.",Republican
Utah,1991,"Bush, George H.W.",Republican
Utah,1992,"Bush, George H.W.",Republican
Utah,1993,"Bush, George H.W.",Republican
Utah,1994,"Bush, George H.W.",Republican
Utah,1995,"Bush, George H.W.",Republican
Utah,1996,"Bush, George H.W.",Republican
Utah,1997,"Dole, Robert",Republican
Utah,1998,"Dole, Robert",Republican
Utah,1999,"Dole, Robert",Republican
Utah,2000,"Dole, Robert",Republican
Utah,2001,"Bush, George W.",Republican
Utah,2002,"Bush, George W.",Republican
Utah,2003,"Bush, George W.",Republican
Utah,2004,"Bush, George W.",Republican
Utah,2005,"Bush, George W.",Republican
Vermont,1981,"Reagan, Ronald",Republican
Vermont,1982,"Reagan, Ronald",Republican
Vermont,1983,"Reagan, Ronald",Republican
Vermont,1984,"Reagan, Ronald",Republican
Vermont,1985,"Reagan, Ronald",Republican
Vermont,1986,"Reagan, Ronald",Republican
Vermont,1987,"Reagan, Ronald",Republican
Vermont,1988,"Reagan, Ronald",Republican
Vermont,1989,"Bush, George H.W.",Republican
Vermont,1990,"Bush, George H.W.",Republican
Vermont,1991,"Bush, George H.W.",Republican
Vermont,1992,"Bush, George H.W.",Republican
Vermont,1993,"Clinton, Bill",Democrat
Vermont,1994,"Clinton, Bill",Democrat
Vermont,1995,"Clinton, Bill",Democrat
Vermont,1996,"Clinton, Bill",Democrat
Vermont,1997,"Clinton, Bill",Democrat
Vermont,1998,"Clinton, Bill",Democrat
Vermont,1999,"Clinton, Bill",Democrat
Vermont,2000,"Clinton, Bill",Democrat
Vermont,2001,"Gore, Al",Democrat
Vermont,2002,"Gore, Al",Democrat
Vermont,2003,"Gore, Al",Democrat
Vermont,2004,"Gore, Al",Democrat
